Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Wierzbica	64.57	80.08	19.92
Kamionka	64.92	71.28	28.72
Mełgiew	69.85	67.51	32.49
Góra Świętej Małgorzaty	65.80	81.02	18.98
Mogilany	75.99	53.24	46.76
Stara Błotnica	74.96	85.70	14.30
Chlewiska	62.27	78.33	21.67
Poświętne	72.02	80.71	19.29
Rokietnica	60.41	86.71	13.29
Tarnowiec	67.32	80.27	19.73
Wąsosz	59.20	83.75	16.25
Zbójna	59.16	77.29	22.71
Zebrzydowice	68.89	56.59	43.41
Lipie	66.19	67.00	33.00
Orzesze	69.72	56.20	43.80
Świnna	70.84	63.82	36.18
Łopuszno	70.26	78.54	21.46
Gietrzwałd	66.22	37.99	62.01
Dobra	65.92	73.55	26.45
Dygowo	62.54	49.98	50.02
Kobylanka	75.11	39.03	60.97
Domaniów	67.14	62.30	37.70
Nieszawa	64.25	54.31	45.69
Jeziorzany	63.80	81.88	18.12
Bełchatów	69.71	62.30	37.70
Siepraw	73.47	68.58	31.42
Olszanka	70.97	84.74	15.26
Siennica	69.38	69.11	30.89
Sochaczew	69.04	60.75	39.25
Jadów	66.95	66.00	34.00
Olesno	54.26	44.57	55.43
Hyżne	74.20	85.92	14.08
Śniadowo	66.56	84.13	15.87
Szypliszki	59.23	62.03	37.97
Brusy	71.92	66.18	33.82
Ornontowice	70.13	62.05	37.95
Łękawica	71.25	69.86	30.14
Wydminy	59.32	50.81	49.19
Ceków-Kolonia	65.47	65.79	34.21
Lisków	64.43	72.22	27.78
Damasławek	67.12	60.18	39.82
Udanin	65.79	67.47	32.53
Biała Podlaska	66.76	65.84	34.16
Łanięta	64.13	76.61	23.39
Dmosin	69.30	65.46	34.54
Szczurowa	63.10	79.26	20.74
Radymno	60.82	70.03	29.97
Trąbki Wielkie	58.33	47.76	52.24
Baćkowice	64.27	82.65	17.35
Ożarów	61.71	67.63	32.37
Łęka Opatowska	66.32	60.16	39.84
Brzeźnica	63.35	58.14	41.86
Trzebiel	59.38	46.80	53.20
Radgoszcz	65.46	89.37	10.63
Jerzmanowice-Przeginia	74.43	70.14	29.86
Wojnicz	67.21	73.94	26.06
Klembów	74.36	69.45	30.55
Czarna Białostocka	61.93	61.68	38.32
Mielnik	63.22	50.00	50.00
Korycin	56.29	72.72	27.28
Olsztyn	70.30	54.35	45.65
Lubliniec	65.90	47.50	52.50
Suszec	71.57	65.46	34.54
Imielin	71.15	54.19	45.81
Jemielno	58.38	68.24	31.76
Trzydnik Duży	63.85	75.89	24.11
Uścimów	67.53	72.95	27.05
Nowe Ostrowy	64.29	70.34	29.66
Siemkowice	66.08	76.34	23.66
Radomsko	67.65	63.64	36.36
Kowiesy	68.09	69.87	30.13
Odrzywół	76.44	86.31	13.69
Bielany	83.60	87.15	12.85
Gać	65.74	82.15	17.85
Szydłowo	66.56	41.21	58.79
Wąwolnica	67.16	76.85	23.15
Czernichów	70.58	63.79	36.21
Dobczyce	72.27	66.99	33.01
Stromiec	68.75	80.51	19.49
Radłów	47.89	58.63	41.37
Tyczyn	71.58	73.46	26.54
Puńsk	54.08	43.77	56.23
Dywity	69.63	36.19	63.81
Rakoniewice	64.43	52.20	47.80
Lipno	68.68	41.52	58.48
Radwanice	68.22	61.22	38.78
Bogatynia	61.22	49.81	50.19
Świecie nad Osą	52.25	69.81	30.19
Końskowola	69.17	70.09	29.91
Świnice Warckie	65.62	73.54	26.46
Baranów	70.96	65.08	34.92
Wąsewo	69.01	78.67	21.33
Pszczółki	65.60	41.43	58.57
Kuźnia Raciborska	51.92	47.94	52.06
Chocianów	65.13	67.82	32.18
Garbów	68.44	73.58	26.42
Stary Zamość	67.89	77.76	22.24
Bolesław	49.73	78.08	21.92
Jastrzębia	72.90	77.97	22.03
Wierzbica	65.14	77.35	22.65
Zbuczyn	74.52	84.53	15.47
Orońsko	70.79	79.18	20.82
Miedziana Góra	73.11	61.86	38.14
Rzgów	68.16	66.26	33.74
Dobrcz	70.24	45.00	55.00
Jabłoń	68.60	77.05	22.95
Kleszczów	71.74	69.67	30.33
Brzeziny	69.04	56.08	43.92
Grybów	73.62	76.35	23.65
Jasieniec	66.53	69.25	30.75
Stara Kornica	63.42	84.28	15.72
Czarna	72.16	80.79	19.21
Wysokie Mazowieckie	68.59	65.68	34.32
Grodziec	65.76	71.95	28.05
Janowice Wielkie	67.47	40.75	59.25
Leśniowice	54.44	67.61	32.39
Jaktorów	75.44	51.91	48.09
Sobienie-Jeziory	73.63	67.43	32.57
Joniec	77.88	57.41	42.59
Gorzów Śląski	51.47	58.91	41.09
Milejczyce	56.75	51.05	48.95
Goleszów	67.81	33.42	66.58
Gilowice	70.70	67.46	32.54
Krasocin	68.93	77.08	22.92
Pępowo	67.42	67.03	32.97
Niemce	70.43	63.85	36.15
Czarna	64.16	61.56	38.44
Chocz	62.98	65.40	34.60
Przemęt	68.23	57.56	42.44
Olszyna	58.93	45.69	54.31
Kijewo Królewskie	64.70	55.84	44.16
Książki	57.94	58.73	41.27
Baranów	66.42	75.72	24.28
Telatyn	57.78	79.63	20.37
Tuplice	58.48	40.25	59.75
Zduny	69.20	69.23	30.77
Budzów	67.48	75.43	24.57
Jarocin	58.75	79.31	20.69
Choroszcz	66.56	60.55	39.45
Janów	59.05	70.27	29.73
Łęczyce	64.84	57.77	42.23
Wądroże Wielkie	65.94	56.59	43.41
Ulan-Majorat	69.12	85.18	14.82
Deszczno	66.75	43.71	56.29
Sędziejowice	70.32	68.68	31.32
Godzianów	73.88	79.42	20.58
Młynarze	76.86	81.03	18.97
Celestynów	76.65	63.38	36.62
Dobrzyniewo Duże	67.30	64.31	35.69
Juchnowiec Kościelny	69.77	59.76	40.24
Sułów	64.49	80.57	19.43
Wiązowna	79.09	52.94	47.06
Stara Biała	69.65	61.16	38.84
Młodzieszyn	66.70	74.63	25.37
Miedźno	69.87	70.82	29.18
Dolsk	64.37	58.94	41.06
Bielice	60.66	62.50	37.50
Ułęż	65.08	73.21	26.79
Miączyn	59.39	78.59	21.41
Maków	70.96	75.38	24.62
Nowa Sucha	69.29	68.13	31.87
Białowieża	68.43	31.35	68.65
Miedzichowo	68.95	50.10	49.90
Dębe Wielkie	72.77	62.99	37.01
Przodkowo	72.27	58.21	41.79
Kozy	74.90	50.27	49.73
Mykanów	72.57	62.42	37.58
Świeszyno	68.42	36.32	63.68
Ruja	66.28	69.60	30.40
Rudna	65.07	65.44	34.56
Łubianka	68.54	50.00	50.00
Batorz	76.60	87.65	12.35
Bełżyce	66.21	73.19	26.81
Paradyż	76.38	85.05	14.95
Bierawa	53.14	46.18	53.82
Czarnocin	73.46	74.05	25.95
Marcinowice	70.61	57.86	42.14
Kodeń	61.44	67.27	32.73
Konopnica	73.51	54.26	45.74
Buczek	72.15	65.82	34.18
Bolimów	69.75	67.30	32.70
Nowe Piekuty	74.23	86.95	13.05
Pozezdrze	63.80	46.47	53.53
Świekatowo	63.67	56.77	43.23
Drelów	61.01	78.04	21.96
Kłoczew	73.69	86.61	13.39
Kłodawa	73.22	33.32	66.68
Łęknica	59.75	32.45	67.55
Smyków	75.61	78.48	21.52
Ełk	56.30	50.53	49.47
Iwkowa	76.27	84.94	15.06
Rzeczniów	65.34	80.02	19.98
Prabuty	56.96	54.09	45.91
Margonin	73.01	42.90	57.10
Rogóźno	59.39	62.20	37.80
Komarówka Podlaska	62.42	75.38	24.62
Burzenin	65.19	69.29	30.71
Rudniki	67.56	63.55	36.45
Czarna Woda	67.34	57.66	42.34
Kowal	67.58	49.97	50.03
Tykocin	67.00	80.34	19.66
Rutka-Tartak	64.01	65.94	34.06
Łodygowice	74.48	59.09	40.91
Wilczyce	62.72	69.36	30.64
Pasym	66.37	46.77	53.23
Mycielin	63.23	73.52	26.48
Kaczory	68.22	50.09	49.91
Marciszów	60.92	51.74	48.26
Czchów	69.09	75.55	24.45
Dominowo	65.32	60.53	39.47
Kamieńsk	71.38	76.79	23.21
Lipce Reymontowskie	79.29	76.77	23.23
Winnica	72.39	73.38	26.62
Podedwórze	62.56	73.67	26.33
Trzebiechów	57.55	47.81	52.19
Łowicz	68.88	71.84	28.16
Dębno	69.16	72.49	27.51
Czarny Bór	68.56	51.09	48.91
Sośnicowice	60.88	44.59	55.41
Lutowiska	77.50	42.15	57.85
Sztabin	61.25	69.06	30.94
Smołdzino	70.79	43.89	56.11
Męcinka	64.86	63.54	36.46
Chrzanów	82.96	94.36	5.64
Dzierzkowice	66.04	76.26	23.74
Ostrów Lubelski	66.08	76.77	23.23
Mokrsko	66.62	69.20	30.80
Sułoszowa	78.27	79.52	20.48
Sieciechów	66.30	72.85	27.15
Przerośl	58.06	74.95	25.05
Subkowy	62.17	53.23	46.77
Ujście	64.67	46.30	53.70
Kleszczewo	80.11	34.79	65.21
Kock	66.44	80.83	19.17
Parysów	72.88	85.65	14.35
Borzytuchom	62.53	52.11	47.89
Stawiszyn	67.16	63.88	36.12
Trzebieszów	78.08	88.72	11.28
Bielawy	66.63	74.69	25.31
Klwów	94.83	82.99	17.01
Konarzyny	65.86	56.47	43.53
Ożarowice	73.34	52.70	47.30
Rąbino	52.21	60.54	39.46
Ojrzeń	67.84	77.82	22.18
Brodnica	61.00	49.09	50.91
Głuchów	79.89	85.09	14.91
Brzozie	69.81	70.48	29.52
Sieroszewice	65.48	68.92	31.08
Rudka	82.35	80.92	19.08
Koszarawa	74.43	75.54	24.46
Kołaki Kościelne	79.00	88.61	11.39
Malanów	59.44	73.00	27.00
Złoczew	65.85	72.88	27.12
Osieck	76.07	77.91	22.09
Wymiarki	65.90	54.44	45.56
Lubrza	62.88	57.65	42.35
Bukowsko	65.34	76.92	23.08
Kobylin-Borzymy	74.30	90.65	9.35
Granowo	68.41	59.46	40.54
Mędrzechów	58.11	79.11	20.89
Górzno	78.93	83.18	16.82
Toszek	56.77	56.90	43.10
Wilczęta	54.25	56.80	43.20
Siedlec	69.64	51.76	48.24
Mietków	70.02	56.24	43.76
Lipusz	75.33	60.36	39.64
Gaworzyce	68.44	65.53	34.47
Rachanie	58.55	83.31	16.69
Szulborze Wielkie	90.23	81.10	18.90
Lubrza	66.45	42.88	57.12
Czajków	76.50	66.90	33.10
Kulesze Kościelne	75.16	92.76	7.24
Żołynia	71.35	78.87	21.13
Wyryki	67.92	71.72	28.28
Wilkołaz	73.90	82.47	17.53
Osjaków	74.87	72.33	27.67
Miastków Kościelny	78.64	80.54	19.46
Suraż	76.97	75.43	24.57
Wyry	75.16	49.36	50.64
Budziszewice	74.63	73.32	26.68
Polanka Wielka	77.37	62.58	37.42
Krupski Młyn	66.98	50.77	49.23
Cegłów	72.51	60.90	39.10
Irządze	77.35	75.64	24.36
Czemierniki	70.62	75.31	24.69
Janowiec Kościelny	63.96	73.12	26.88
Wapno	61.38	53.50	46.50
Żukowice	70.92	60.48	39.52
Tarnówka	66.40	50.59	49.41
Klukowo	78.90	89.06	10.94
Bałtów	67.84	70.75	29.25
Pakosław	73.02	66.54	33.46
Markuszów	70.95	74.92	25.08
Boniewo	72.78	65.21	34.79
Ślemień	85.89	73.14	26.86
Spytkowice	76.03	80.67	19.33
Jordanów Śląski	82.97	62.62	37.38
Słupia	86.93	79.62	20.38
Platerówka	77.38	58.80	41.20
Obrzycko	82.15	44.38	55.62
Rossosz	81.24	71.98	28.02
statki	99.74	30.56	69.44
Warszawa	77.4	32.35	67.65
