Gmina	Frekwencja	Andrzej Sebastian DUDA	Rafał Kazimierz TRZASKOWSKI
Waganiec	65.80	70.79	29.21
Dąbrowa Chełmińska	62.53	47.85	52.15
Osielsko	80.85	29.73	70.27
Unisław	61.06	54.46	45.54
Dragacz	58.71	49.71	50.29
Stary Brus	63.65	76.94	23.06
Torzym	57.29	42.35	57.65
Żagań	65.33	38.92	61.08
Radomsko	67.68	52.11	47.89
Proszowice	65.25	68.67	31.33
Bukowina Tatrzańska	68.55	72.25	27.75
Pacyna	66.38	79.55	20.45
Lutocin	63.41	77.55	22.45
Pokój	57.13	44.80	55.20
Lubaczów	62.38	83.27	16.73
Cisna	83.13	29.24	70.76
Krynica Morska	88.53	35.13	64.87
Ustka	81.34	39.02	60.98
Skórcz	66.77	58.61	41.39
Bliżyn	63.79	65.53	34.47
Wieliczki	54.56	69.41	30.59
Wielbark	52.82	64.50	35.50
Skoki	65.73	42.91	57.09
Malechowo	58.06	55.19	44.81
Świdwin	62.55	41.94	58.06
Brodnica	65.35	45.56	54.44
Tłuchowo	59.91	71.75	28.25
Kurów	66.56	73.38	26.62
Hanna	56.96	70.09	29.91
Kostrzyn nad Odrą	67.96	33.02	66.98
Drzewica	73.07	78.58	21.42
Masłowice	68.49	77.00	23.00
Żelechlinek	69.47	81.91	18.09
Czarny Dunajec	55.58	82.46	17.54
Nieporęt	80.28	44.26	55.74
Somianka	73.70	70.75	29.25
Brzostek	66.57	87.59	12.41
Padew Narodowa	66.72	83.12	16.88
Hajnówka	59.69	36.66	63.34
Marklowice	67.26	65.65	34.35
Milówka	69.35	70.34	29.66
Sędziszów	64.13	71.98	28.02
Bartoszyce	62.46	44.87	55.13
Rybno	61.90	66.03	33.97
Mikołajki	69.88	36.51	63.49
Biskupiec	58.02	45.28	54.72
Dobrzyca	65.35	61.42	38.58
Zaniemyśl	70.07	43.20	56.80
Drawsko Pomorskie	60.04	41.22	58.78
Trzebiatów	68.84	41.82	58.18
Przelewice	55.31	58.24	41.76
Osiecznica	57.88	51.17	48.83
Syców	65.31	43.85	56.15
Jaworzyna Śląska	59.45	53.62	46.38
Kruszwica	59.83	55.00	45.00
Otyń	66.06	44.48	55.52
Słońsk	62.58	49.96	50.04
Skąpe	63.54	40.40	59.60
Słaboszów	62.09	76.50	23.50
Krynica-Zdrój	70.72	58.75	41.25
Jabłonka	67.38	87.43	12.57
Trojanów	73.90	83.37	16.63
Kałuszyn	70.61	71.13	28.87
Nysa	63.06	49.45	50.55
Łubniany	55.48	36.38	63.62
Dębowiec	68.58	84.79	15.21
Niwiska	64.94	83.46	16.54
Czarna Dąbrówka	65.52	59.12	40.88
Kornowac	65.39	65.94	34.06
Krzyżanowice	53.25	50.31	49.69
Osiek	67.20	87.32	12.68
Lidzbark	59.90	60.71	39.29
Dąbrówno	56.79	58.67	41.33
Przedecz	61.55	72.40	27.60
Złotów	65.66	38.35	61.65
Okonek	55.71	50.73	49.27
Drawno	56.71	47.44	52.56
Stargard	63.08	48.71	51.29
